Работа только тогда радостна когда она несомненно нужна., Лев Николаевич Толстой
Работа — это главное в жизни. От всех неприятностей от всех бед можно найти одно избавление — в работе., Эрнест Хемингуэй
Понуждай сам свою работу; не жди чтобы она тебя понуждала., Бенджамин Франклин
Работа — мое первое наслаждение,Вольфганг Амадей Моцарт
Работа необходима для здоровья., Гиппократ
Любовь – это дружба с эротическими вкраплениями., Антонио Гала
Кто не работает тот пусть не ест., Библия
Работа которую мы делаем охотно исцеляет боли., Уильям Шекспир
Труд кончается но хорошо исполненная работа не пропадет., Катон Марк Порций Цензорий
Любимая работа поднимает рано и мы с радостью принимаемся за нее., Уильям Шекспир
Нерадивый в работе своей — брат расточителю., Притчи Соломона
Человек рождается не для того чтобы влачить печальное существование в бездействии а чтобы работать над великим и грандиозным делом., Леон Баттиста Альберти
Если все кажется легким это безошибочно доказывает что работник весьма мало искусен и что работа выше его разумения., Леонардо да Винчи
Разве упав не встают и совратившись с дороги не возвращаются?, Библия
Не оставайтесь должными никому ничем кроме взаимной любви;, Библия
Лучшая работа — это высокооплачиваемое хобби., Американская мудрость
Опять сделали бороду, Сергей Сивак
Куда упадет пылинка на границе двух черных дыр?, Сергей Сивак
Пацаны прикиньте японцы создали силиконовые мозги предназначенные для..., Роман Мельник
Ты знаешь сколько это денег стоит?, Виталий Костюченко
И только Борух говорит: иди, Роман Сарбей
У меня есть человек он все что хочешь из под земли достанет, Роман Сарбей
Мне не в первой я разберусь с этой фигней - дойду домой, Сергей Лазаренко
Триста лет, Сергей Сивак
Да оно триста лет никому не нужно, Сергей Сивак
Сколько лет?, Сергей Лазаренко
Работа есть то чем мы занимаемся когда хотелось бы заняться чем-то другим., Джейме Мэтью Барри
Раз за это платят деньги значит это работа., Данил Рудый
Один мудрый еврей рассказал однажды молодому челоевеку что значит пути Божии...,Роман Сарбей
Нет достижения выше чем сделать неразличимой грань между работой и игрой., Арнолд Тойнби
Я никогда не любил работать. Работа — это вмешательство в личную жизнь., Дэнни Макгурти
Слишком многие у нас живут не работая; и почти столько же — работают не живя., Чарлз Р. Браун
